# This data is from the Supporting Information of Kandler et al. (2011), see https://doi.org/10.1111/j.1600-0889.2011.00550.x
situation	wavelength (nm)	particle diameter d (µm)	0 <= k < 0.000025	0.000025 <= k < 0.00005	0.00005 <= k < 0.0001	0.0001 <= k < 0.0002	0.0002 <= k < 0.0004	0.0004 <= k < 0.0008	0.0008 <= k < 0.0016	0.0016 <= k < 0.0032	0.0032 <= k < 0.0064	0.0064 <= k < 0.0128	0.0128 <= k < 0.0256	0.0256 <= k < 0.0512	0.0512 <= k < 0.1024	0.1024 <= k < 0.2048	0.2048 <= k < 0.4096	0.4096 <= k < 0.8192	0.8192 <= k < 1.6384		1.48 <= n < 1.497	1.497 <= n < 1.514	1.514 <= n < 1.532	1.532 <= n < 1.55	1.55 <= n < 1.568	1.568 <= n < 1.586	1.586 <= n < 1.604	1.604 <= n < 1.623	1.623 <= n < 1.642	1.642 <= n < 1.661	1.661 <= n < 1.68	1.68 <= n < 1.699	1.699 <= n < 1.719	1.719 <= n < 1.929	1.929 <= n < 2.164	2.164 <= n < 2.428	2.428 <= n < 2.724	2.724 <= n < 3.057
dust	670	6.4 <= d < 9.05	58	6	31	69	134	330	153	27	10	8	0	0	0	0	0	0	0		0	0	33	116	156	395	58	22	14	17	5	0	3	5	0	1	1	0
dust	670	9.05 <= d < 12.8	113	6	39	103	141	205	75	22	6	10	0	1	0	0	0	0	0		0	0	84	187	115	234	40	12	21	11	3	0	3	9	1	1	0	0
dust	670	12.8 <= d < 18.1	65	6	25	96	137	211	87	22	8	1	0	0	0	0	0	0	0		0	0	54	144	133	232	58	8	12	11	1	1	0	1	1	1	1	0
dust	670	18.1 <= d < 25.6	10	1	10	23	38	92	61	11	0	1	0	0	0	0	0	0	0		0	0	8	29	44	123	31	8	2	1	0	0	1	0	0	0	0	0
dust	670	25.6 <= d < 36.2	2	0	0	3	6	25	18	2	0	0	0	0	0	0	0	0	0		0	0	2	4	10	27	10	3	0	0	0	0	0	0	0	0	0	0

dust	869	0.05 <= d < 0.1	25	3	51	89	57	7	0	4	2	2	0	0	8	0	0	0	0		0	0	27	13	181	18	1	0	2	0	2	0	0	4	0	0	0	0
dust	869	0.1 <= d < 0.141	88	16	112	179	104	15	3	8	6	0	0	0	26	0	0	0	0		0	0	93	91	317	37	1	3	1	2	3	2	2	3	0	2	0	0
dust	869	0.141 <= d < 0.2	140	27	158	199	91	18	4	1	8	0	0	0	26	0	0	0	0		0	0	141	208	283	26	2	1	1	0	1	0	3	5	0	0	1	0
dust	869	0.2 <= d < 0.283	82	99	248	238	103	18	5	3	2	0	0	0	4	0	0	0	0		0	0	77	473	201	42	3	1	2	0	1	0	0	2	0	0	0	0
dust	869	0.283 <= d < 0.4	167	40	77	73	60	18	13	2	5	1	2	14	9	0	0	0	0		1	0	146	156	96	25	9	8	1	2	0	2	0	4	2	1	28	0
dust	869	0.4 <= d < 0.566	278	19	37	54	58	29	9	2	7	3	0	12	14	0	0	0	0		1	0	257	91	92	35	6	3	2	5	0	1	1	6	2	4	16	0
dust	869	0.566 <= d < 0.8	293	34	68	92	84	66	21	3	3	2	0	7	0	0	0	0	0		0	0	238	142	149	79	16	8	3	16	0	0	1	5	0	4	12	0
dust	869	0.8 <= d < 1.13	398	72	107	257	203	150	32	13	6	3	0	12	0	0	0	0	0		0	0	280	267	395	190	30	14	8	42	1	1	0	8	1	4	12	0
dust	869	1.13 <= d < 1.6	475	73	174	431	295	316	43	9	5	1	0	10	0	0	0	0	0		0	0	294	355	621	390	54	20	21	53	3	0	0	6	0	1	14	0
dust	869	1.6 <= d < 2.26	307	51	132	326	340	354	37	7	4	2	2	2	0	0	0	0	0		0	0	171	259	514	472	59	15	18	40	2	1	1	3	1	4	4	0
dust	869	2.26 <= d < 3.2	225	27	58	218	311	314	31	11	1	3	1	1	0	0	0	0	0		0	0	120	172	339	432	55	17	29	19	3	0	0	4	1	6	4	0
dust	869	3.2 <= d < 4.53	293	19	80	218	462	488	89	13	3	5	1	3	0	0	0	0	0		1	0	111	232	348	697	119	35	43	64	2	1	0	8	2	4	7	0
dust	869	4.53 <= d < 6.4	120	18	72	159	427	427	59	9	6	2	0	0	0	0	0	0	0		0	0	53	153	253	638	97	21	36	33	0	3	1	6	1	1	3	0
dust	869	6.4 <= d < 9.05	61	22	52	110	277	247	39	10	6	2	0	0	0	0	0	0	0		0	0	33	123	170	388	48	18	14	20	2	2	2	4	1	1	0	0
dust	869	9.05 <= d < 12.8	116	30	79	132	197	124	24	7	11	0	1	0	0	0	0	0	0		0	0	84	191	127	225	35	12	19	14	0	3	4	5	2	0	0	0
dust	869	12.8 <= d < 18.1	66	26	66	118	220	125	26	9	2	0	0	0	0	0	0	0	0		0	0	54	152	139	229	48	10	10	10	1	1	0	1	1	2	0	0
dust	869	18.1 <= d < 25.6	10	10	14	32	87	79	14	0	1	0	0	0	0	0	0	0	0		0	0	8	30	48	122	29	6	2	1	0	0	1	0	0	0	0	0
dust	869	25.6 <= d < 36.2	2	0	2	5	21	24	2	0	0	0	0	0	0	0	0	0	0		0	0	2	4	10	31	8	1	0	0	0	0	0	0	0	0	0	0

dust	1021	0.05 <= d < 0.1	25	2	6	126	69	4	1	3	4	0	0	0	8	0	0	0	0		0	0	27	15	184	14	0	2	0	2	0	0	1	3	0	0	0	0
dust	1021	0.1 <= d < 0.141	87	8	44	243	123	10	4	9	3	0	0	0	26	0	0	0	0		0	0	94	95	323	27	2	2	2	4	1	2	0	3	0	2	0	0
dust	1021	0.141 <= d < 0.2	134	11	112	253	114	10	3	3	6	0	0	0	26	0	0	0	0		0	0	141	219	283	15	3	0	1	1	1	3	2	2	0	0	1	0
dust	1021	0.2 <= d < 0.283	68	43	249	293	123	14	5	1	2	0	0	0	4	0	0	0	0		0	0	106	458	200	31	2	2	1	0	0	1	1	0	0	0	0	0
dust	1021	0.283 <= d < 0.4	151	34	84	93	58	15	15	2	4	2	14	0	9	0	0	0	0		1	0	164	143	98	21	13	2	0	3	1	0	0	4	2	15	14	0
dust	1021	0.4 <= d < 0.566	268	22	39	61	63	27	5	3	6	2	12	0	14	0	0	0	0		1	0	282	68	93	34	6	3	1	4	2	0	1	6	1	16	4	0
dust	1021	0.566 <= d < 0.8	286	20	70	121	89	56	17	2	5	0	7	0	0	0	0	0	0		0	0	283	103	156	70	16	5	4	14	0	2	0	4	0	11	5	0
dust	1021	0.8 <= d < 1.13	390	32	119	305	240	117	20	10	6	2	12	0	0	0	0	0	0		0	0	371	198	399	178	19	12	14	36	1	2	2	4	1	16	0	0
dust	1021	1.13 <= d < 1.6	464	32	179	482	376	250	30	3	5	1	10	0	0	0	0	0	0		0	0	418	237	662	364	41	16	18	55	0	2	0	4	0	11	4	0
dust	1021	1.6 <= d < 2.26	298	29	126	366	438	269	21	9	2	4	2	0	0	0	0	0	0		0	0	268	169	573	432	40	10	18	40	2	1	0	3	2	4	2	0
dust	1021	2.26 <= d < 3.2	220	15	68	227	385	249	24	7	4	1	1	0	0	0	0	0	0		0	0	190	108	393	394	37	19	24	21	0	0	0	4	1	7	3	0
dust	1021	3.2 <= d < 4.53	287	28	89	190	629	372	62	5	6	3	3	0	0	0	0	0	0		1	0	228	131	445	637	82	27	39	63	0	0	1	8	2	6	4	0
dust	1021	4.53 <= d < 6.4	118	32	70	140	543	351	32	8	5	0	0	0	0	0	0	0	0		0	0	103	112	348	580	56	21	34	30	4	1	2	3	1	1	3	0
dust	1021	6.4 <= d < 9.05	63	36	41	105	347	194	26	10	4	0	0	0	0	0	0	0	0		0	0	74	89	224	350	34	14	13	18	4	0	1	3	1	1	0	0
dust	1021	9.05 <= d < 12.8	120	44	81	106	240	97	19	9	4	1	0	0	0	0	0	0	0		0	0	141	142	169	187	30	9	17	12	3	5	2	2	2	0	0	0
dust	1021	12.8 <= d < 18.1	69	40	70	101	253	99	20	5	1	0	0	0	0	0	0	0	0		0	0	97	120	165	211	31	11	10	9	0	1	0	0	1	2	0	0
dust	1021	18.1 <= d < 25.6	13	10	13	27	103	76	4	1	0	0	0	0	0	0	0	0	0		0	0	21	20	66	112	21	3	2	1	1	0	0	0	0	0	0	0
dust	1021	25.6 <= d < 36.2	2	1	1	4	24	22	2	0	0	0	0	0	0	0	0	0	0		0	0	3	5	11	32	5	0	0	0	0	0	0	0	0	0	0	0

dust	1638	0.05 <= d < 0.1	0	0	0	28	59	141	4	3	3	2	0	0	8	0	0	0	0		0	0	27	15	177	21	0	2	0	2	0	0	1	3	0	0	0	0
dust	1638	0.1 <= d < 0.141	0	0	1	94	160	252	8	7	7	2	0	0	26	0	0	0	0		0	0	94	95	299	51	2	2	2	4	1	2	0	3	0	2	0	0
dust	1638	0.141 <= d < 0.2	0	0	5	143	260	219	9	2	6	2	0	0	26	0	0	0	0		0	0	141	219	257	41	3	1	0	1	1	3	2	2	0	0	1	0
dust	1638	0.2 <= d < 0.283	25	4	10	80	472	190	11	3	3	0	0	0	4	0	0	0	0		0	0	106	458	196	35	2	2	1	0	0	1	1	0	0	0	0	0
dust	1638	0.283 <= d < 0.4	33	1	18	137	141	92	21	7	4	2	2	14	9	0	0	0	0		1	0	164	143	89	30	14	1	2	1	1	0	0	4	2	15	14	0
dust	1638	0.4 <= d < 0.566	31	4	46	218	56	103	25	3	4	5	1	12	14	0	0	0	0		1	0	282	68	79	48	6	3	5	0	2	0	1	6	1	16	4	0
dust	1638	0.566 <= d < 0.8	63	6	32	214	109	173	57	7	3	2	0	7	0	0	0	0	0		0	0	283	103	157	69	16	7	16	0	0	2	0	4	0	11	5	0
dust	1638	0.8 <= d < 1.13	124	8	12	282	190	488	110	16	8	3	0	12	0	0	0	0	0		0	0	371	198	400	177	23	14	43	1	1	2	2	4	1	16	0	0
dust	1638	1.13 <= d < 1.6	186	6	29	300	246	828	200	19	6	2	0	10	0	0	0	0	0		0	0	418	237	662	373	37	27	55	2	0	2	0	4	0	11	4	0
dust	1638	1.6 <= d < 2.26	135	4	40	173	171	802	213	14	5	3	2	2	0	0	0	0	0		0	0	268	169	575	436	36	21	43	2	2	1	0	3	2	4	2	0
dust	1638	2.26 <= d < 3.2	90	10	83	102	81	622	188	17	3	3	1	1	0	0	0	0	0		0	0	190	108	393	401	35	36	20	3	0	0	0	4	1	7	3	0
dust	1638	3.2 <= d < 4.53	162	17	107	125	79	839	305	26	5	5	1	3	0	0	0	0	0		1	0	228	131	446	641	84	51	68	3	0	0	1	8	2	6	4	0
dust	1638	4.53 <= d < 6.4	56	18	85	88	50	689	290	15	6	2	0	0	0	0	0	0	0		0	0	103	112	349	585	60	37	38	1	3	1	2	3	1	1	3	0
dust	1638	6.4 <= d < 9.05	22	17	67	59	40	450	147	16	5	3	0	0	0	0	0	0	0		0	0	74	89	224	354	34	19	21	1	4	0	1	3	1	1	0	0
dust	1638	9.05 <= d < 12.8	24	32	141	85	36	298	81	12	10	1	1	0	0	0	0	0	0		0	0	141	142	169	190	28	22	15	0	3	5	2	2	2	0	0	0
dust	1638	12.8 <= d < 18.1	9	22	94	78	36	311	95	11	2	0	0	0	0	0	0	0	0		0	0	97	120	165	218	27	14	11	2	0	1	0	0	1	2	0	0
dust	1638	18.1 <= d < 25.6	2	9	16	12	13	132	60	2	1	0	0	0	0	0	0	0	0		0	0	21	20	66	117	17	3	2	0	1	0	0	0	0	0	0	0
dust	1638	25.6 <= d < 36.2	0	0	4	2	2	30	18	0	0	0	0	0	0	0	0	0	0		0	0	3	5	11	32	5	0	0	0	0	0	0	0	0	0	0	0

dust	2000	0.05 <= d < 0.1	25	0	0	2	4	186	15	2	3	3	0	0	8	0	0	0	0		0	0	27	15	177	21	0	2	0	2	0	0	1	3	0	0	0	0
dust	2000	0.1 <= d < 0.141	87	0	0	8	46	338	36	5	8	3	0	0	26	0	0	0	0		0	0	94	95	300	50	2	2	2	4	1	2	0	3	0	2	0	0
dust	2000	0.141 <= d < 0.2	130	0	2	17	123	326	36	3	7	2	0	0	26	0	0	0	0		0	0	141	219	257	41	3	1	0	1	1	3	2	2	0	1	0	0
dust	2000	0.2 <= d < 0.283	65	2	4	49	310	312	49	4	3	0	0	0	4	0	0	0	0		0	0	119	445	196	35	2	2	1	0	0	1	1	0	0	0	0	0
dust	2000	0.283 <= d < 0.4	146	0	5	34	108	112	31	14	3	3	2	14	9	0	0	0	0		1	0	169	138	90	29	14	3	0	1	1	0	0	4	2	15	14	0
dust	2000	0.4 <= d < 0.566	263	0	5	29	46	94	43	5	4	5	2	12	14	0	0	0	0		1	0	286	64	79	49	7	5	1	0	2	0	1	6	1	16	4	0
dust	2000	0.566 <= d < 0.8	282	0	3	27	73	161	98	17	2	3	0	7	0	0	0	0	0		0	0	297	89	157	70	18	16	4	0	0	2	0	4	0	11	5	0
dust	2000	0.8 <= d < 1.13	389	0	1	29	145	414	226	22	11	3	1	12	0	0	0	0	0		0	0	387	182	400	178	26	44	9	1	1	2	3	3	1	16	0	0
dust	2000	1.13 <= d < 1.6	460	0	6	41	179	643	455	29	6	3	0	10	0	0	0	0	0		0	0	445	210	663	375	43	71	2	2	0	2	0	4	0	11	4	0
dust	2000	1.6 <= d < 2.26	291	0	11	43	113	510	560	23	6	2	3	2	0	0	0	0	0		0	0	296	141	577	439	36	54	5	2	2	1	0	3	4	2	2	0
dust	2000	2.26 <= d < 3.2	204	0	24	48	55	317	517	27	4	3	1	1	0	0	0	0	0		0	0	240	58	395	400	40	48	2	3	0	0	0	4	3	7	1	0
dust	2000	3.2 <= d < 4.53	265	8	41	83	64	319	819	59	6	6	1	3	0	0	0	0	0		1	0	328	31	446	648	91	101	4	3	0	0	1	8	4	5	3	0
dust	2000	4.53 <= d < 6.4	106	8	56	57	48	246	736	31	9	2	0	0	0	0	0	0	0		0	0	198	17	350	590	62	62	5	1	3	1	2	3	1	1	3	0
dust	2000	6.4 <= d < 9.05	54	12	44	46	32	159	441	25	10	3	0	0	0	0	0	0	0		0	0	157	6	226	354	37	31	4	1	4	0	1	3	1	1	0	0
dust	2000	9.05 <= d < 12.8	106	25	63	77	36	130	253	17	12	1	1	0	0	0	0	0	0		0	0	272	11	169	195	28	29	3	0	3	5	2	2	2	0	0	0
dust	2000	12.8 <= d < 18.1	61	19	53	61	38	142	260	21	3	0	0	0	0	0	0	0	0		0	0	210	7	167	218	31	16	3	2	0	1	0	0	2	1	0	0
dust	2000	18.1 <= d < 25.6	10	7	11	11	6	53	144	4	1	0	0	0	0	0	0	0	0		0	0	40	1	67	119	17	2	0	0	1	0	0	0	0	0	0	0
dust	2000	25.6 <= d < 36.2	2	0	1	3	1	11	36	2	0	0	0	0	0	0	0	0	0		0	0	7	1	11	32	5	0	0	0	0	0	0	0	0	0	0	0
