# This data is from the Supporting Information of Kandler et al. (2011), see https://doi.org/10.1111/j.1600-0889.2011.00550.x
situation	wavelength (nm)	particle diameter d (µm)	0 <= k < 0.000025	0.000025 <= k < 0.00005	0.00005 <= k < 0.0001	0.0001 <= k < 0.0002	0.0002 <= k < 0.0004	0.0004 <= k < 0.0008	0.0008 <= k < 0.0016	0.0016 <= k < 0.0032	0.0032 <= k < 0.0064	0.0064 <= k < 0.0128	0.0128 <= k < 0.0256	0.0256 <= k < 0.0512	0.0512 <= k < 0.1024	0.1024 <= k < 0.2048	0.2048 <= k < 0.4096	0.4096 <= k < 0.8192	0.8192 <= k < 1.6384		1.48 <= n < 1.497	1.497 <= n < 1.514	1.514 <= n < 1.532	1.532 <= n < 1.55	1.55 <= n < 1.568	1.568 <= n < 1.586	1.586 <= n < 1.604	1.604 <= n < 1.623	1.623 <= n < 1.642	1.642 <= n < 1.661	1.661 <= n < 1.68	1.68 <= n < 1.699	1.699 <= n < 1.719	1.719 <= n < 1.929	1.929 <= n < 2.164	2.164 <= n < 2.428	2.428 <= n < 2.724	2.724 <= n < 3.057
dust	380	3.2 <= d < 4.53	271	18	10	33	89	0	2	44	153	378	508	121	31	5	6	2	3		0	0	31	92	742	580	69	28	13	19	28	52	2	5	2	4	3	1
dust	380	4.53 <= d < 6.4	109	7	4	13	22	1	3	79	144	359	425	104	18	9	2	0	0		0	0	11	46	564	522	50	19	11	18	23	27	0	2	1	0	2	0
dust	380	6.4 <= d < 9.05	55	2	2	8	8	0	14	66	101	231	259	55	12	9	4	0	0		0	0	4	31	382	323	30	10	9	10	11	11	0	3	0	0	1	1
dust	380	9.05 <= d < 12.8	111	2	1	4	2	0	31	77	125	185	125	34	10	12	1	1	0		0	0	3	82	381	176	24	9	4	14	21	3	0	1	2	1	0	0
dust	380	12.8 <= d < 18.1	63	0	3	0	8	0	16	72	129	186	122	45	11	3	0	0	0		0	0	5	50	360	177	32	9	6	7	6	3	0	0	0	1	1	1
dust	380	18.1 <= d < 25.6	10	0	1	1	0	0	9	20	34	71	75	23	2	1	0	0	0		0	0	1	7	113	101	16	3	2	1	2	1	0	0	0	0	0	0
dust	380	25.6 <= d < 36.2	2	0	0	0	1	0	0	1	5	18	19	10	0	0	0	0	0		0	0	0	2	17	31	5	1	0	0	0	0	0	0	0	0	0	0

dust	441	0.05 <= d < 0.1	25	3	50	49	0	0	3	16	56	24	6	0	11	2	3	0	0		0	0	25	14	182	18	1	1	1	2	0	0	0	4	0	0	0	0
dust	441	0.1 <= d < 0.141	87	14	103	53	0	0	15	67	107	53	13	4	32	6	3	0	0		0	0	87	87	330	35	1	2	2	3	3	1	1	3	0	0	1	1
dust	441	0.141 <= d < 0.2	139	27	134	47	0	0	18	82	117	52	15	5	27	7	2	0	0		0	0	128	173	332	25	2	1	0	2	0	2	2	4	0	0	0	1
dust	441	0.2 <= d < 0.283	82	90	162	24	0	4	57	138	151	61	18	6	6	3	0	0	0		0	0	30	386	341	36	4	1	1	1	0	0	1	1	0	0	0	0
dust	441	0.283 <= d < 0.4	153	33	43	18	0	2	19	44	50	39	17	14	27	4	2	2	14		0	1	93	173	137	22	10	6	0	0	2	2	0	4	2	0	15	14
dust	441	0.4 <= d < 0.566	273	14	27	32	0	2	2	13	28	46	30	13	20	3	5	2	12		0	1	179	136	124	37	7	0	3	1	5	1	0	6	2	0	16	4
dust	441	0.566 <= d < 0.8	287	29	65	77	0	0	2	1	21	83	59	26	11	2	3	0	7		0	0	179	124	228	79	15	6	5	1	14	0	2	3	1	0	11	5
dust	441	0.8 <= d < 1.13	397	69	106	227	0	0	0	1	38	217	123	39	13	7	3	1	12		0	0	247	163	541	181	31	12	6	12	35	0	2	6	1	0	16	0
dust	441	1.13 <= d < 1.6	470	73	172	390	0	0	0	6	51	313	278	46	15	5	3	0	10		0	0	250	204	827	381	53	14	16	11	54	1	2	4	0	0	11	4
dust	441	1.6 <= d < 2.26	305	48	122	294	0	0	1	11	54	365	296	46	10	5	2	3	2		0	0	128	135	693	467	55	8	11	15	39	1	1	2	3	0	4	2
dust	441	2.26 <= d < 3.2	220	23	42	156	0	0	0	20	92	319	265	42	14	3	3	1	1		0	0	52	90	508	422	43	15	15	22	19	0	0	4	1	0	7	3
dust	441	3.2 <= d < 4.53	288	11	33	89	0	0	5	62	171	492	379	109	21	4	6	1	3		0	1	31	91	597	690	91	38	19	35	60	0	0	8	2	1	6	4
dust	441	4.53 <= d < 6.4	116	4	13	22	0	1	11	93	166	428	345	77	14	7	2	0	0		0	0	13	44	435	621	78	18	19	29	29	2	2	4	0	1	1	3
dust	441	6.4 <= d < 9.05	57	2	8	8	0	1	19	78	113	276	200	43	13	5	3	0	0		0	0	5	30	308	376	45	13	11	11	17	4	0	4	0	1	1	0
dust	441	9.05 <= d < 12.8	113	1	4	2	0	2	40	83	140	188	101	25	10	10	1	1	0		0	0	3	82	330	217	31	10	9	13	14	5	2	2	2	1	0	0
dust	441	12.8 <= d < 18.1	63	3	0	7	1	1	25	92	119	205	95	35	10	2	0	0	0		0	0	10	45	298	228	40	9	13	3	8	0	1	0	0	1	2	0
dust	441	18.1 <= d < 25.6	10	1	1	0	0	1	12	24	32	80	65	19	1	1	0	0	0		0	0	1	7	87	118	24	4	3	1	1	1	0	0	0	0	0	0
dust	441	25.6 <= d < 36.2	2	0	0	1	0	0	0	2	5	20	19	7	0	0	0	0	0		0	0	0	2	16	32	5	1	0	0	0	0	0	0	0	0	0	0

dust	467	0.05 <= d < 0.1	25	3	50	49	0	0	4	22	55	20	4	0	12	2	2	0	0		0	0	25	6	189	19	1	0	2	0	2	0	0	4	0	0	0	0
dust	467	0.1 <= d < 0.141	88	15	103	53	0	0	19	76	105	46	10	2	32	6	2	0	0		0	0	87	57	355	39	1	2	2	2	3	2	2	3	0	0	2	0
dust	467	0.141 <= d < 0.2	140	27	134	47	0	0	27	88	116	44	10	4	27	6	2	0	0		0	0	128	145	357	28	2	1	0	1	1	0	3	5	0	0	0	1
dust	467	0.2 <= d < 0.283	82	90	162	24	0	7	72	157	129	54	11	5	7	2	0	0	0		0	0	30	379	342	42	3	1	2	0	1	0	0	2	0	0	0	0
dust	467	0.283 <= d < 0.4	167	34	43	18	0	6	27	39	49	39	13	12	12	5	1	2	14		0	1	93	160	145	24	10	8	1	0	2	2	0	4	2	0	15	14
dust	467	0.4 <= d < 0.566	278	17	27	32	0	2	5	15	31	50	18	9	16	4	5	1	12		0	1	179	120	140	35	7	2	3	1	4	1	1	6	2	0	16	4
dust	467	0.566 <= d < 0.8	293	32	66	77	0	0	2	2	27	86	52	19	5	3	2	0	7		0	0	179	122	225	80	17	8	3	3	14	0	1	4	1	0	11	5
dust	467	0.8 <= d < 1.13	398	72	107	227	0	0	0	1	58	223	103	29	13	7	3	0	12		0	0	247	161	529	189	35	13	6	11	36	1	0	8	1	0	16	0
dust	467	1.13 <= d < 1.6	475	73	172	390	0	0	0	8	80	350	219	39	9	5	2	0	10		0	0	250	201	806	397	54	21	16	11	54	1	0	6	0	0	11	4
dust	467	1.6 <= d < 2.26	307	50	122	294	0	0	2	13	72	425	227	35	7	3	3	2	2		0	0	128	134	661	484	64	15	10	15	39	1	1	3	1	3	3	2
dust	467	2.26 <= d < 3.2	225	27	42	156	0	0	0	25	103	375	202	29	10	2	3	1	1		0	0	52	90	475	442	52	18	14	23	20	0	0	4	1	0	7	3
dust	467	3.2 <= d < 4.53	292	14	35	89	0	1	8	79	187	578	291	74	13	4	5	1	3		0	1	31	91	555	702	115	41	21	34	61	1	0	7	2	3	5	4
dust	467	4.53 <= d < 6.4	119	6	14	22	0	2	18	105	180	480	288	47	10	6	2	0	0		0	0	13	43	387	644	96	23	19	32	27	3	1	6	0	1	1	3
dust	467	6.4 <= d < 9.05	58	3	8	8	0	1	25	87	125	307	152	34	10	5	3	0	0		0	0	5	30	281	392	52	15	13	9	19	2	2	4	0	1	1	0
dust	467	9.05 <= d < 12.8	113	1	6	2	0	4	44	103	133	199	74	23	7	10	1	1	0		0	0	3	82	313	227	32	15	10	13	12	3	4	4	3	0	0	0
dust	467	12.8 <= d < 18.1	64	4	1	7	1	2	33	95	129	202	86	22	10	2	0	0	0		0	0	10	45	286	229	50	8	12	5	8	1	0	1	0	2	1	0
dust	467	18.1 <= d < 25.6	10	1	1	0	0	2	16	25	34	85	58	14	0	1	0	0	0		0	0	1	7	78	121	28	6	3	1	1	0	1	0	0	0	0	0
dust	467	25.6 <= d < 36.2	2	0	0	1	0	0	0	3	5	24	19	2	0	0	0	0	0		0	0	0	2	12	31	10	1	0	0	0	0	0	0	0	0	0	0

dust	532	0.05 <= d < 0.1	30	97	0	0	0	1	7	55	33	8	1	2	10	4	0	0	0		0	0	25	6	186	22	1	0	1	1	2	0	0	4	0	0	0	0
dust	532	0.1 <= d < 0.141	112	147	0	0	0	8	55	108	63	20	2	5	34	3	0	0	0		0	0	87	57	351	42	2	2	2	0	3	3	1	5	0	0	2	0
dust	532	0.141 <= d < 0.2	198	150	0	0	0	9	72	122	60	19	6	1	31	4	0	0	0		0	0	128	142	351	36	2	2	0	1	1	0	0	8	0	0	0	1
dust	532	0.2 <= d < 0.283	243	115	0	0	1	38	134	155	75	25	6	3	6	1	0	0	0		0	0	31	372	341	47	4	2	1	1	1	0	0	2	0	0	0	0
dust	532	0.283 <= d < 0.4	218	44	0	0	1	11	44	53	41	16	15	7	12	3	2	14	0		1	0	96	160	138	25	8	12	2	2	0	0	2	4	0	2	1	28
dust	532	0.4 <= d < 0.566	311	43	0	0	0	3	10	23	42	39	12	2	17	6	2	12	0		1	0	182	119	135	36	8	3	3	4	1	0	2	6	2	0	4	16
dust	532	0.566 <= d < 0.8	346	122	0	0	0	2	1	10	74	69	30	7	2	3	0	7	0		0	0	181	125	216	79	21	6	7	14	2	0	0	5	1	0	4	12
dust	532	0.8 <= d < 1.13	510	294	0	0	0	0	1	22	167	176	42	13	10	5	1	12	0		0	0	247	166	509	194	42	11	13	37	7	1	1	7	2	0	4	12
dust	532	1.13 <= d < 1.6	621	489	0	0	0	0	4	36	234	343	68	18	5	4	0	10	0		0	0	250	207	775	405	67	22	20	61	2	2	0	5	1	0	1	14
dust	532	1.6 <= d < 2.26	395	378	0	0	0	1	6	40	248	409	61	13	6	2	3	2	0		0	0	130	136	635	493	73	19	12	48	2	2	1	3	2	3	1	4
dust	532	2.26 <= d < 3.2	263	187	0	0	0	0	14	68	233	360	51	16	3	4	1	1	0		0	0	52	100	433	464	58	21	21	34	1	2	0	4	1	0	6	4
dust	532	3.2 <= d < 4.53	313	117	0	0	0	2	43	147	361	526	123	26	4	7	2	3	0		1	0	35	91	507	718	130	49	31	84	5	2	0	6	3	3	2	7
dust	532	4.53 <= d < 6.4	127	34	0	0	1	4	76	144	330	449	109	14	8	3	0	0	0		0	0	16	42	350	648	120	32	23	50	3	1	3	6	0	1	1	3
dust	532	6.4 <= d < 9.05	62	15	0	0	0	13	63	100	218	275	55	12	9	4	0	0	0		0	0	8	27	259	399	64	18	11	25	5	0	3	5	0	1	1	0
dust	532	9.05 <= d < 12.8	116	6	0	0	0	30	74	124	177	135	34	11	11	2	1	0	0		0	0	8	77	299	230	43	13	15	19	3	0	3	8	2	1	0	0
dust	532	12.8 <= d < 18.1	69	7	0	1	0	14	69	129	182	130	44	10	3	0	0	0	0		0	0	13	42	272	234	56	9	15	11	1	0	1	1	0	2	1	0
dust	532	18.1 <= d < 25.6	11	1	0	0	1	8	20	32	69	77	25	2	1	0	0	0	0		0	0	1	7	69	126	31	7	3	2	0	0	0	1	0	0	0	0
dust	532	25.6 <= d < 36.2	2	1	0	0	0	0	1	5	18	18	11	0	0	0	0	0	0		0	0	0	2	12	28	11	3	0	0	0	0	0	0	0	0	0	0

dust	630	0.05 <= d < 0.1	30	97	0	4	32	53	14	2	1	3	3	1	8	0	0	0	0		0	0	27	12	176	23	2	0	1	1	0	2	0	3	1	0	0	0
dust	630	0.1 <= d < 0.141	112	147	0	24	99	93	35	5	3	8	5	0	26	0	0	0	0		0	0	93	84	317	43	2	2	1	1	2	2	3	5	0	1	1	0
dust	630	0.141 <= d < 0.2	198	150	0	37	116	91	36	6	3	1	8	0	26	0	0	0	0		0	0	141	202	277	36	2	2	2	0	0	1	0	8	0	0	1	0
dust	630	0.2 <= d < 0.283	243	115	11	98	163	110	40	10	4	2	2	0	4	0	0	0	0		0	0	74	463	208	46	4	2	1	1	0	1	0	2	0	0	0	0
dust	630	0.283 <= d < 0.4	218	44	7	36	40	53	28	9	14	3	4	2	23	0	0	0	0		1	0	142	158	94	24	8	12	3	2	0	0	1	5	0	3	14	14
dust	630	0.4 <= d < 0.566	311	43	2	7	18	38	46	14	6	3	6	2	26	0	0	0	0		1	0	253	91	90	34	11	5	1	5	1	0	1	7	2	3	5	12
dust	630	0.566 <= d < 0.8	346	122	1	1	5	45	91	34	14	2	5	0	7	0	0	0	0		0	0	230	146	147	76	21	8	7	13	3	0	0	5	1	4	5	7
dust	630	0.8 <= d < 1.13	510	294	0	1	3	102	228	67	16	12	5	3	12	0	0	0	0		0	0	272	271	389	181	43	12	15	36	6	2	1	6	3	3	1	12
dust	630	1.13 <= d < 1.6	621	489	0	0	12	126	410	126	26	6	5	1	10	0	0	0	0		0	0	283	364	600	379	77	26	22	56	2	1	1	5	1	0	5	10
dust	630	1.6 <= d < 2.26	395	378	0	3	24	121	477	130	19	9	2	2	4	0	0	0	0		0	0	169	253	485	475	86	18	18	43	1	2	1	3	2	4	2	2
dust	630	2.26 <= d < 3.2	263	187	0	1	46	143	428	99	21	7	2	3	1	0	0	0	0		0	0	111	173	304	456	64	23	28	23	1	3	0	3	1	6	4	1
dust	630	3.2 <= d < 4.53	313	117	1	14	120	243	617	176	53	8	4	4	4	0	0	0	0		1	0	107	230	291	711	137	57	46	67	3	2	1	5	5	4	4	3
dust	630	4.53 <= d < 6.4	127	34	2	32	135	228	526	177	24	9	4	1	0	0	0	0	0		0	0	51	146	202	647	129	37	36	33	3	0	2	8	0	2	3	0
dust	630	6.4 <= d < 9.05	62	15	4	41	87	171	325	84	22	10	5	0	0	0	0	0	0		0	0	33	111	146	399	67	20	15	20	2	3	0	8	0	1	1	0
dust	630	9.05 <= d < 12.8	116	6	8	57	122	147	188	44	18	6	8	1	0	0	0	0	0		0	0	84	185	112	231	45	12	22	13	3	0	3	9	1	1	0	0
dust	630	12.8 <= d < 18.1	69	8	5	50	110	139	194	59	18	5	1	0	0	0	0	0	0		0	0	53	141	128	236	54	17	11	12	0	1	1	1	1	1	1	0
dust	630	18.1 <= d < 25.6	11	1	3	17	30	45	95	40	4	1	0	0	0	0	0	0	0		0	0	8	28	40	125	32	9	3	1	0	0	0	1	0	0	0	0
dust	630	25.6 <= d < 36.2	2	1	0	1	4	7	25	14	2	0	0	0	0	0	0	0	0		0	0	2	4	9	26	12	3	0	0	0	0	0	0	0	0	0	0

dust	660	0.05 <= d < 0.1	26	4	97	6	59	34	6	0	4	1	3	0	8	0	0	0	0		0	0	27	12	179	21	1	0	1	1	2	0	0	4	0	0	0	0
dust	660	0.1 <= d < 0.141	91	21	149	42	133	64	14	3	5	7	2	0	26	0	0	0	0		0	0	93	84	321	39	2	2	2	1	3	2	1	5	0	1	1	0
